,id,description,direction_destinations,direction_names,long_name,short_name,type
124,117,Key Bus,"['Wonderland Station', 'Maverick Station']","['Outbound', 'Inbound']",Wonderland Station - Maverick Station via Beach Street,117,3
125,119,Local Bus,"['Northgate Shopping Center', 'Beachmont Station']","['Outbound', 'Inbound']",Northgate Shopping Center - Beachmont Station,119,3
126,120,Local Bus,"['Orient Heights Station', 'Jeffries Point']","['Outbound', 'Inbound']",Orient Heights Station - Jeffries Point,120,3
127,121,Commuter Bus,"['Wood Island Station', 'Maverick Station']","['Outbound', 'Inbound']",Wood Island Station - Maverick Station,121,3
128,131,Commuter Bus,"['Melrose Highlands', 'Oak Grove or Malden Center Station']","['Outbound', 'Inbound']",Melrose Highlands - Oak Grove or Malden Center Station,131,3
129,132,Local Bus,"['Redstone Shopping Center', 'Malden Center Station']","['Outbound', 'Inbound']",Redstone Shopping Center - Malden Center Station,132,3
130,134,Local Bus,"['North Woburn', 'Wellington Station']","['Outbound', 'Inbound']",North Woburn - Wellington Station,134,3
131,137,Local Bus,"['Reading Depot', 'Malden Center Station']","['Outbound', 'Inbound']",Reading Depot - Malden Center Station,137,3
132,171,Supplemental Bus,"['Logan Airport Terminals', 'Nubian Station']","['Outbound', 'Inbound']",Logan Airport Terminals - Nubian Station,171,3
133,201,Local Bus,"['Fields Corner Loop', 'Fields Corner Loop']","['Outbound', 'Inbound']",Fields Corner Loop via Neponset Ave,201,3
134,202,Local Bus,"['Fields Corner Loop', 'Fields Corner Loop']","['Outbound', 'Inbound']",Fields Corner Loop via Adams Street,202,3
135,210,Local Bus,"['Quincy Center Station', 'Fields Corner Station']","['Outbound', 'Inbound']",Quincy Center Station - Fields Corner Station,210,3
136,211,Local Bus,"['Quincy Center Station', 'Squantum']","['Outbound', 'Inbound']",Quincy Center Station - Squantum,211,3
137,215,Local Bus,"['Quincy Center Station', 'Ashmont Station']","['Outbound', 'Inbound']",Quincy Center Station - Ashmont Station via West Quincy,215,3
138,216,Local Bus,"['Houghs Neck', 'Quincy Center Station']","['Outbound', 'Inbound']",Houghs Neck - Quincy Center Station via Germantown,216,3
139,217,Commuter Bus,"['Quincy Center Station', 'Ashmont Station']","['Outbound', 'Inbound']",Quincy Center Station - Ashmont Station via Wollaston Station,217,3
140,220,Local Bus,"['Hingham Depot', 'Quincy Center Station']","['Outbound', 'Inbound']",Hingham Depot - Quincy Center Station,220,3
141,222,Local Bus,"['East Weymouth', 'Quincy Center Station']","['Outbound', 'Inbound']",East Weymouth - Quincy Center Station,222,3
142,225,Local Bus,"['Weymouth Landing', 'Quincy Center Station']","['Outbound', 'Inbound']",Weymouth Landing - Quincy Center Station,225,3
143,226,Local Bus,"['Columbian Square', 'Braintree Station']","['Outbound', 'Inbound']",Columbian Square - Braintree Station,226,3
144,230,Local Bus,"['Montello Station', 'Quincy Center Station']","['Outbound', 'Inbound']",Montello Station - Quincy Center Station,230,3
145,236,Local Bus,"['South Shore Plaza', 'Quincy Center Station']","['Outbound', 'Inbound']",South Shore Plaza - Quincy Center Station,236,3
146,238,Local Bus,"['Holbrook/Randolph Station', 'Quincy Center Station']","['Outbound', 'Inbound']",Holbrook/Randolph Station - Quincy Center Station,238,3
147,240,Local Bus,"['Avon Square', 'Ashmont Station']","['Outbound', 'Inbound']",Avon Square - Ashmont Station,240,3
